name,year,claims,market claims,solved mean,market mean solved,response mean,market response mean,mean days,mean days market
BANCO SANTANDER,2021,3134,91793,31.1,48.1,99.9,98.0,7,5
BANCO SANTANDER,2022,3499,113259,38.6,50.8,99.7,97.5,7,6
BANCO SCOTIABANK,2019,6028,88503,48.6,51.9,96.3,97.7,8,6
BANCO SCOTIABANK,2020,9272,118409,39.3,48.9,96.9,97.5,10,6
BANCO SCOTIABANK,2021,3216,91793,53.1,48.1,99.6,98.0,5,5
BANCO SCOTIABANK,2022,2564,113259,64.4,50.8,100,97.5,6,6
BANCO SECURITY,2019,336,88503,50.8,51.9,99.7,97.7,6,6
BANCO SECURITY,2020,357,118409,54.0,48.9,98.9,97.5,6,6
BANCO SECURITY,2021,165,91793,55.0,48.1,98.8,98.0,6,5
BANCO SECURITY,2022,140,113259,65.9,50.8,100,97.5,7,6
BANCOESTADO,2019,14791,88503,44.8,51.9,99.9,97.7,7,6
BANCOESTADO,2020,21565,118409,43.1,48.9,99.7,97.5,9,6
BANCOESTADO,2021,20187,91793,27.6,48.1,99.9,98.0,6,5
BANCOESTADO,2022,12441,113259,31.5,50.8,100,97.5,5,6
BANCOESTADO CORREDORES DE SEGUROS,2019,1012,88503,41.2,51.9,100,97.7,7,6
BANCOESTADO CORREDORES DE SEGUROS,2020,1472,118409,45.7,48.9,99.6,97.5,8,6
BANCOESTADO CORREDORES DE SEGUROS,2021,774,91793,42.7,48.1,99.5,98.0,6,5
BANCOESTADO CORREDORES DE SEGUROS,2022,807,113259,45.2,50.8,100,97.5,6,6
BCI SEGUROS,2019,854,88503,31.5,51.9,100,97.7,6,6
BCI SEGUROS,2020,1174,118409,31.2,48.9,100,97.5,7,6
BCI SEGUROS,2021,1327,91793,43.3,48.1,99.3,98.0,7,5
BCI SEGUROS,2022,3349,113259,43.7,50.8,90.3,97.5,10,6
BICE VIDA,2019,56,88503,49.1,51.9,98.1,97.7,6,6
BICE VIDA,2020,80,118409,64.4,48.9,100,97.5,5,6
BICE VIDA,2021,60,91793,57.6,48.1,100,98.0,5,5
BICE VIDA,2022,62,113259,51.8,50.8,100,97.5,5,6
BNP PARIBAS CARDIF SEGUROS DE VIDA,2019,72,88503,3.2,51.9,89.9,97.7,4,6
BNP PARIBAS CARDIF SEGUROS DE VIDA,2020,178,118409,30.7,48.9,87.2,97.5,5,6
BNP PARIBAS CARDIF SEGUROS DE VIDA,2021,112,91793,67.6,48.1,99.1,98.0,5,5
BNP PARIBAS CARDIF SEGUROS DE VIDA,2022,111,113259,73.3,50.8,99.1,97.5,6,6
BNP PARIBAS CARDIF SEGUROS GENERALES,2019,391,88503,0.9,51.9,90.1,97.7,5,6
BNP PARIBAS CARDIF SEGUROS GENERALES,2020,1226,118409,37.7,48.9,88.4,97.5,5,6
BNP PARIBAS CARDIF SEGUROS GENERALES,2021,687,91793,68.7,48.1,99.9,98.0,5,5
BNP PARIBAS CARDIF SEGUROS GENERALES,2022,888,113259,74.0,50.8,99.7,97.5,7,6
BUPA,2019,19,88503,84.2,51.9,100,97.7,6,6
BUPA,2020,138,118409,83.7,48.9,100,97.5,6,6
BUPA,2021,155,91793,71.3,48.1,96.6,98.0,6,5
BUPA,2022,250,113259,65.1,50.8,96.3,97.5,5,6
CAJA DE COMPENSACION 18 DE SEPTIEMBRE,2019,294,88503,63.7,51.9,100,97.7,4,6
CAJA DE COMPENSACION 18 DE SEPTIEMBRE,2020,217,118409,63.7,48.9,100,97.5,4,6
CAJA DE COMPENSACION 18 DE SEPTIEMBRE,2021,209,91793,71.9,48.1,99.0,98.0,4,5
CAJA DE COMPENSACION 18 DE SEPTIEMBRE,2022,267,113259,53.5,50.8,99.6,97.5,5,6
CAJA DE COMPENSACION LA ARAUCANA,2019,416,88503,38.9,51.9,96.1,97.7,6,6
CAJA DE COMPENSACION LA ARAUCANA,2020,287,118409,49.0,48.9,99.6,97.5,4,6
CAJA DE COMPENSACION LA ARAUCANA,2021,213,91793,65.9,48.1,100,98.0,4,5
CAJA DE COMPENSACION LA ARAUCANA,2022,179,113259,69.3,50.8,100,97.5,5,6
CAJA DE COMPENSACION LOS ANDES,2019,1758,88503,65.0,51.9,100,97.7,6,6
CAJA DE COMPENSACION LOS ANDES,2020,2244,118409,57.8,48.9,99.6,97.5,6,6
CAJA DE COMPENSACION LOS ANDES,2021,1911,91793,63.5,48.1,98.0,98.0,6,5
CAJA DE COMPENSACION LOS ANDES,2022,1928,113259,59.7,50.8,99.9,97.5,7,6
CAJA DE COMPENSACION LOS HEROES,2019,327,88503,58.3,51.9,98.1,97.7,5,6
CAJA DE COMPENSACION LOS HEROES,2020,260,118409,50.2,48.9,100,97.5,5,6
CAJA DE COMPENSACION LOS HEROES,2021,167,91793,58.4,48.1,100,98.0,5,5
CAJA DE COMPENSACION LOS HEROES,2022,284,113259,60.9,50.8,99.6,97.5,5,6
CHEVROLET SEGUROS FINANCIEROS,2019,207,88503,64.9,51.9,100,97.7,6,6
CHEVROLET SEGUROS FINANCIEROS,2020,429,118409,74.9,48.9,100,97.5,6,6
CHEVROLET SEGUROS FINANCIEROS,2021,221,91793,74.6,48.1,100,98.0,6,5
CHEVROLET SEGUROS FINANCIEROS,2022,305,113259,76.7,50.8,100,97.5,7,6
CHILENA CONSOLIDADA,2019,363,88503,50.5,51.9,90.9,97.7,7,6
CHILENA CONSOLIDADA,2020,513,118409,57.8,48.9,92.6,97.5,6,6
CHILENA CONSOLIDADA,2021,671,91793,59.2,48.1,99.8,98.0,7,5
CHILENA CONSOLIDADA,2022,1164,113259,58.3,50.8,98.8,97.5,11,6
CMR FALABELLA,2019,5894,88503,36.9,51.9,99.9,97.7,4,6
CMR FALABELLA,2020,10808,118409,33.9,48.9,99.9,97.5,5,6
CMR FALABELLA,2021,8562,91793,39.0,48.1,99.8,98.0,4,5
CMR FALABELLA,2022,12458,113259,46.7,50.8,99.9,97.5,6,6
CONSORCIO SEGURO,2019,251,88503,71.4,51.9,100,97.7,6,6
CONSORCIO SEGURO,2020,266,118409,70.5,48.9,100,97.5,6,6
CONSORCIO SEGURO,2021,262,91793,48.5,48.1,99.2,98.0,6,5
CONSORCIO SEGURO,2022,646,113259,55.5,50.8,99.8,97.5,9,6
COOPEUCH,2019,682,88503,84.1,51.9,100,97.7,5,6
COOPEUCH,2020,934,118409,78.2,48.9,99.6,97.5,5,6
COOPEUCH,2021,859,91793,76.7,48.1,99.9,98.0,5,5
COOPEUCH,2022,868,113259,83.1,50.8,99.7,97.5,6,6
CORREDORA DE SEGUROS RIPLEY,2019,419,88503,56.9,51.9,100,97.7,6,6
CORREDORA DE SEGUROS RIPLEY,2020,1112,118409,56.0,48.9,99.8,97.5,4,6
CORREDORA DE SEGUROS RIPLEY,2021,811,91793,54.5,48.1,100,98.0,4,5
CORREDORA DE SEGUROS RIPLEY,2022,1092,113259,57.9,50.8,100,97.5,5,6
ZURICH SANTANDER SEGUROS CHILE,2019,60,88503,14.3,51.9,100,97.7,5,6
ZURICH SANTANDER SEGUROS CHILE,2020,75,118409,27.8,48.9,100,97.5,6,6
ZURICH SANTANDER SEGUROS CHILE,2021,48,91793,29.5,48.1,97.8,98,5,5
ZURICH SANTANDER SEGUROS CHILE,2022,94,113259,35.2,50.8,100,97.5,5,6
ZENIT SEGUROS,2019,142,88503,38.8,51.9,100,97.7,6,6
ZENIT SEGUROS,2020,178,118409,42.6,48.9,100,97.5,7,6
ZENIT SEGUROS,2021,198,91793,40.6,48.1,98.9,98,8,5
ZENIT SEGUROS,2022,506,113259,40.5,50.8,99.6,97.5,12,6
VIDA SECURITY,2019,75,88503,33.8,51.9,100,97.7,6,6
VIDA SECURITY,2020,76,118409,37.8,48.9,100,97.5,6,6
VIDA SECURITY,2021,62,91793,50,48.1,100,98,5,5
VIDA SECURITY,2022,86,113259,72.3,50.8,100,97.5,5,6
UNIMARC SEGUROS,2019,171,88503,75.3,51.9,100,97.7,5,6
UNIMARC SEGUROS,2020,72,110614,84.7,49.1,100,97.5,6,6
UNIMARC SEGUROS,2021,25,76468,62.5,48.2,100,98.1,5,5
UNIMARC SEGUROS,2022,26,104115,60,51,100,97.5,5,6
TARJETA TRICOT,2019,521,88503,56.8,51.9,99.4,97.7,5,6
TARJETA TRICOT,2020,645,118409,51.6,48.9,100,97.5,6,6
TARJETA TRICOT,2021,419,91793,53.4,48.1,99.5,98,6,5
TARJETA TRICOT,2022,569,113259,50.4,50.8,99.5,97.5,6,6
TARJETA SALCOBRAND,2019,950,88503,74.8,51.9,100,97.7,5,6
TARJETA SALCOBRAND,2020,953,118409,77.9,48.9,100,97.5,5,6
TARJETA SALCOBRAND,2021,700,91793,80,48.1,100,98,4,5
TARJETA SALCOBRAND,2022,497,113259,51.5,50.8,100,97.5,3,6
TARJETA RIPLEY,2019,4061,88503,55.8,51.9,100,97.7,6,6
TARJETA RIPLEY,2020,5333,118409,54.9,48.9,100,97.5,4,6
TARJETA RIPLEY,2021,4392,91793,57,48.1,100,98,4,5
TARJETA RIPLEY,2022,5060,113259,54.3,50.8,99.9,97.5,5,6
TARJETA LÍDER BCI,2019,3344,88503,50.1,51.9,100,97.7,2,6
TARJETA LÍDER BCI,2020,2733,118409,56.2,48.9,100,97.5,4,6
TARJETA LÍDER BCI,2021,2100,91793,62.2,48.1,100,98,4,5
TARJETA LÍDER BCI,2022,2798,113259,57.7,50.8,99.9,97.5,4,6
TARJETA LA POLAR,2019,2885,88503,68.6,51.9,99.7,97.7,3,6
TARJETA LA POLAR,2020,3937,118409,58.4,48.9,97.2,97.5,4,6
TARJETA LA POLAR,2021,3444,91793,66.8,48.1,99.3,98,2,5
TARJETA LA POLAR,2022,2694,113259,71.9,50.8,99.8,97.5,2,6
TARJETA HITES,2019,1269,88503,49.1,51.9,99.9,97.7,7,6
TARJETA HITES,2020,1251,118409,53.5,48.9,95.4,97.5,8,6
TARJETA HITES,2021,632,91793,56.3,48.1,100,98,4,5
TARJETA HITES,2022,743,113259,50.1,50.8,100,97.5,4,6
TARJETA FASHIONS PARK,2019,129,88503,52.9,51.9,99.2,97.7,3,6
TARJETA FASHIONS PARK,2020,131,118409,70.6,48.9,99.2,97.5,4,6
TARJETA FASHIONS PARK,2021,152,91793,65.1,48.1,100,98,4,5
TARJETA FASHIONS PARK,2022,169,113259,73.9,50.8,100,97.5,5,6
TARJETA DE CREDITO UNIMARC,2019,525,88503,67.7,51.9,100,97.7,6,6
TARJETA DE CREDITO UNIMARC,2020,438,118409,67,48.9,100,97.5,5,6
TARJETA DE CREDITO UNIMARC,2021,183,91793,55.1,48.1,100,98,3,5
TARJETA DE CREDITO UNIMARC,2022,186,113259,49.4,50.8,100,97.5,4,6
TARJETA CRUZ VERDE,2019,968,88503,73.8,51.9,100,97.7,5,6
TARJETA CRUZ VERDE,2020,1091,118409,69.1,48.9,100,97.5,5,6
TARJETA CRUZ VERDE,2021,1031,91793,78.4,48.1,100,98,6,5
TARJETA CRUZ VERDE,2022,1437,113259,76.1,50.8,100,97.5,8,6
TARJETA CORONA,2019,997,88503,85.3,51.9,99.2,97.7,7,6
TARJETA CORONA,2020,559,118409,82.9,48.9,100,97.5,5,6
TARJETA CORONA,2021,360,91793,89.4,48.1,100,98,5,5
TARJETA CORONA,2022,405,113259,81.9,50.8,97.6,97.5,7,6
TARJETA CENCOSUD,2019,6837,88503,58.6,51.9,100,97.7,5,6
TARJETA CENCOSUD,2020,7819,118409,54.4,48.9,100,97.5,5,6
TARJETA CENCOSUD,2021,5104,91793,52.2,48.1,100,98,5,5
TARJETA CENCOSUD,2022,6980,113259,48.9,50.8,99,97.5,6,6
TARJETA ABCDIN,2019,3420,88503,72.5,51.9,100,97.7,5,5
TARJETA ABCDIN,2020,2886,118409,68.7,48.9,100,97.5,3,6
TARJETA ABCDIN,2021,2303,91793,72.5,48.1,100,98,5,5
TARJETA ABCDIN,2022,3013,113259,77.6,50.8,97.8,97.5,6,6
TANNER,2019,273,88503,68,51.9,100,97.7,6,6
TANNER,2020,513,118409,75,48.9,100,97.5,6,6
TANNER,2021,290,91793,79.8,48.1,100,98,6,5
TANNER,2022,247,113259,75.1,50.8,100,97.5,6,6
SEGUROS SURA,2019,374,88503,53.5,51.9,87.5,97.7,7,6
SEGUROS SURA,2020,835,118409,57.9,48.9,67.1,97.5,8,6
SEGUROS SURA,2021,830,91793,62.6,48.1,72.4,98,3,5
SEGUROS SURA,2022,1822,113259,61.5,50.8,94.1,97.5,6,6
SEGUROS FALABELLA,2019,1208,88503,52.4,51.9,97.4,97.7,6,6
SEGUROS FALABELLA,2020,2113,118409,58.3,48.9,98.2,97.5,6,6
SEGUROS FALABELLA,2021,1281,91793,59.5,48.1,100,98,5,5
SEGUROS FALABELLA,2022,1638,113259,62.4,50.8,99.9,97.5,4,6
SEGUROS CLC CLINICA LAS CONDES,2019,27,81501,71.4,51.9,77.8,97.7,6,6
SEGUROS CLC CLINICA LAS CONDES,2020,39,118409,25,48.9,84.2,97.5,7,6
SEGUROS CLC CLINICA LAS CONDES,2021,36,84574,32.4,48,97.1,98,6,5
SEGUROS CLC CLINICA LAS CONDES,2022,39,113259,52.8,50.8,94.7,97.5,8,6
SEGUROS CENCOSUD,2019,633,88503,52.8,51.9,99.8,97.7,5,6
SEGUROS CENCOSUD,2020,780,118409,40.6,48.9,100,97.5,5,6
SEGUROS CENCOSUD,2021,478,91793,48.3,48.1,100,98,6,5
SEGUROS CENCOSUD,2022,743,113259,56.9,50.8,98.1,97.5,7,6
SANTANDER CONSUMER FINANCE - CREDITO AUTOMOTRIZ,2019,163,88503,51,51.9,100,97.7,9,6
SANTANDER CONSUMER FINANCE - CREDITO AUTOMOTRIZ,2020,444,118409,55.5,48.9,95.1,97.5,10,6
SANTANDER CONSUMER FINANCE - CREDITO AUTOMOTRIZ,2021,362,91793,60.4,48.1,89.3,98,11,5
SANTANDER CONSUMER FINANCE - CREDITO AUTOMOTRIZ,2022,467,113259,56.7,50.8,95.7,97.5,9,6
MUNDO CREDITO,2019,63,88503,80,51.9,7.9,97.7,0,6
MUNDO CREDITO,2020,65,110614,90.6,49.1,100,97.5,5,6
MUNDO CREDITO,2021,24,84751,82.6,47.8,100,98.1,4,5
MUNDO CREDITO,2022,42,113259,54.8,50.8,100,97.5,8,6
MITSUI AUTO FINANCE,2019,118,88503,77.9,51.9,100,97.7,4,6
MITSUI AUTO FINANCE,2020,179,118409,78.3,48.9,100,97.5,5,6
MITSUI AUTO FINANCE,2021,143,91793,81.9,48.1,100,98,4,5
MITSUI AUTO FINANCE,2022,113259,82.8,50.8,100,97.5,4,6
METLIFE,2019,326,88503,45.8,51.9,100,97.7,6,6
METLIFE,2020,634,118409,37.1,48.9,100,97.5,5,6
METLIFE,2021,350,91793,39.4,48.1,99.4,98,6,5
METLIFE,2022,424,113259,36,50.8,100,97.5,7,6
MAPFRE,2019,175,88503,56.6,51.9,100,97.7,7,6
MAPFRE,2020,252,118409,74.2,48.9,100,97.5,7,6
MAPFRE,2021,274,91793,72.6,48.1,99.6,98,7,5
MAPFRE,2022,995,113259,86.6,50.8,98.9,97.5,8,6
LIBERTY COMPANIA DE SEGUROS GENERALES,2019,467,88503,49.5,51.9,89.8,97.7,6,6
LIBERTY COMPANIA DE SEGUROS GENERALES,2020,414,118409,47.6,48.9,99,97.5,7,6
LIBERTY COMPANIA DE SEGUROS GENERALES,2021,587,91793,52.8,48.1,99.8,98,7,5
LIBERTY COMPANIA DE SEGUROS GENERALES,2022,769,113259,59.6,50.8,99.2,97.5,7,6
LA POLAR CORREDORES DE SEGUROS,2019,643,88503,73.3,51.9,99.4,97.7,3,6
LA POLAR CORREDORES DE SEGUROS,2020,480,118409,56.1,48.9,97.1,97.5,3,6
LA POLAR CORREDORES DE SEGUROS,2021,266,91793,69,48.1,98.4,98,3,5
LA POLAR CORREDORES DE SEGUROS,2022,226,113259,74.3,50.8,100,97.5,4,6
HDI SEGUROS,2019,659,88503,46.8,51.9,88.6,97.7,4,6
HDI SEGUROS,2020,1122,118409,63.6,48.9,98.1,97.5,6,6
HDI SEGUROS,2021,966,91793,60.7,48.1,99.9,98,7,5
HDI SEGUROS,2022,2453,113259,65.5,50.8,100,97.5,6,6
GLOBAL SOLUCIONES,2019,99,88503,67.3,51.9,100,97.7,8,6
GLOBAL SOLUCIONES,2020,218,118409,73.1,48.9,100,97.5,5,6
GLOBAL SOLUCIONES,2021,88,91793,60,48.1,100,98,4,5
GLOBAL SOLUCIONES,2022,77,113259,56.7,50.8,100,97.5,3,6
FORUM SERVICIOS FINANCIEROS,2019,705,88503,54.5,51.9,99.3,97.7,6,6
FORUM SERVICIOS FINANCIEROS,2020,1386,118409,55.2,48.9,99.3,97.5,5,6
FORUM SERVICIOS FINANCIEROS,2021,1034,91793,68.1,48.1,99.4,98,5,5
FORUM SERVICIOS FINANCIEROS,2022,595,113259,47.3,50.8,99.6,97.5,6,6

